ZONE,SystemType,SystemName,StartX,StartY,EndX,EndY,PSize,Position,Critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,56675.821333,77694.92522,56675.821333,78203.390245,20,branch,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,56795.821333,77574.92522,56795.821333,78053.390245,20,branch,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,58095.633755,83629.747427,58095.633755,84681.680739,20,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,57945.633755,83479.747427,57945.633755,84681.680739,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,58245.633755,83779.747427,58245.633755,84681.680739,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,63185.272713,91609.824206,63185.272713,91147.596008,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,62889.192463,91639.824206,62889.192463,92258.340613,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,55286.810742,92427.871729,55768.92888,92427.871729,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,55768.92888,92427.871729,57103.172997,92427.871729,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,55286.810742,92277.871729,55918.92888,92277.871729,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,55918.92888,92277.871729,56611.708984,92277.871729,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,55768.92888,92427.871729,55768.92888,93749.569826,20,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,55918.92888,92277.871729,55918.92888,93599.569826,20,branch,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,55618.92888,92577.871729,55618.92888,94707.797548,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,57103.172997,92006.628818,57103.172997,92427.871729,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,55213.189258,93749.569826,54731.07112,93749.569826,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,54731.07112,93749.569826,53998.153318,93749.569826,32,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,55213.189258,93599.569826,54581.07112,93599.569826,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,54581.07112,93599.569826,53848.153318,93599.569826,25,main,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,54881.07112,93899.569826,54148.153318,93899.569826,40,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,53848.153318,93599.569826,53848.153318,96705.0,25,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,54148.153318,93899.569826,54148.153318,97005.0,40,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,53998.153318,93749.569826,53998.153318,96855.0,32,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,55213.189258,92427.871729,54731.07112,92427.871729,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,54731.07112,92427.871729,53396.827003,92427.871729,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,55213.189258,92277.871729,54581.07112,92277.871729,20,main,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,54581.07112,92277.871729,53888.291016,92277.871729,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,54731.07112,92427.871729,54731.07112,93749.569826,20,branch,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,54581.07112,92277.871729,54581.07112,93599.569826,20,branch,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,54881.07112,92577.871729,54881.07112,94707.797548,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,53396.827003,92006.628818,53396.827003,92427.871729,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,56898.371182,100279.267994,56501.846682,100279.267994,20,error,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,53576.628818,101505.170821,54499.954615,101505.170821,0,error,non-critical
ZON-1, T4,SHT-TNOR-SR-ZONE2,53576.628818,101996.634834,54349.954615,101996.634834,0,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,65455.168718,100695.64696,65455.168718,100213.317927,20,main,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,65305.168718,100845.64696,65305.168718,100213.317927,20,main,non-critical
ZON-1, T3,SHT-TNOR-SI-ZONE2,63297.934525,100695.64696,63297.934525,100213.317927,20,error,non-critical
ZON-1, B1,SHT-TNOR-SO-ZONE2,63147.934525,100845.64696,63147.934525,100213.317927,20,error,non-critical
