ZONE,StartX,StartY,EndX,EndY,KesitX,KesitY,SystemName,Position,Critical
ZON-4,109930.0,180156.566361,110738.210926,180156.566361,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,243475.0,33001.553566,243475.0,32686.785362,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,108007.37582,181090.009629,112022.26234,181090.009629,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,246918.772244,33001.038583,246918.772244,32686.785362,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,109780.0,182283.958082,110638.210926,182283.958082,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,244808.158748,35432.448992,244808.158748,36967.309608,150,150,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,115360.786025,186822.229812,114377.982571,186822.229812,200,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,245919.153634,37242.309608,245614.579894,37242.309608,150,150,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,101477.689151,141657.872983,102090.10307,141657.872983,200,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,241632.5,36725.0,241403.331259,36725.0,200,200,HVAC-S-AHU-B1-01-S-KNL,bottom,non-critical
ZON-4,100161.735386,173603.17335,100161.735386,174986.650001,250,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,239437.687592,36708.981933,239605.707564,36708.981933,300,250,HVAC-E-EF-L5-03-KNL,main,non-critical
ZON-4,102193.561783,142801.229417,102454.593707,142801.229417,100,0,HVAC-S-UFLEME-KNL,downbranch,non-critical
ZON-2,245121.746758,44370.0,245121.746758,43067.778924,250,250,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,110913.210926,147485.102142,111513.210926,147485.102142,433,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,240315.89986,44306.89544,240315.89986,43117.778924,250,250,HVAC-S-AHU-B1-01-S-KNL,main,non-critical
ZON-4,100821.561469,173938.31968,100821.561469,174089.742508,100,0,HVAC-R-EMS-KNL,downbranch,non-critical
ZON-2,245125.0,40770.0,245125.0,38650.753375,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
ZON-4,102471.977648,91189.731612,102471.977648,87742.860087,160,0,HVAC-E-EF-KNL,downbranch,non-critical
ZON-2,240362.519855,40770.0,240362.519855,38650.753375,300,250,HVAC-R-AHU-B1-01-R-KNL,main,non-critical
